Benchmark,type,Score,Score Error (99.9%),Unit,Param: size
ArrayByte,clone,8.148008,0.129787,ns/op,10
ArrayByte,clone,120.925952,1.775413,ns/op,1000
ArrayByte,clone,112729.8104,1652.843177,ns/op,1000000
ArrayByte,copy,9.301701,0.131184,ns/op,10
ArrayByte,copy,122.838962,1.551115,ns/op,1000
ArrayByte,copy,113819.1357,1782.04194,ns/op,1000000
ArrayInt,clone,8.667492,0.140981,ns/op,10
ArrayInt,clone,408.297443,4.897752,ns/op,1000
ArrayInt,clone,451316.6169,5781.362226,ns/op,1000000
ArrayInt,copy,9.95466,0.172862,ns/op,10
ArrayInt,copy,413.394993,4.940793,ns/op,1000
ArrayInt,copy,451241.4168,5956.47297,ns/op,1000000
ArrayLong,clone,9.91321,0.157654,ns/op,10
ArrayLong,clone,798.269557,9.998288,ns/op,1000
ArrayLong,clone,1007324.279,13041.79176,ns/op,1000000
ArrayLong,copy,12.027799,0.664494,ns/op,10
ArrayLong,copy,796.962252,9.05198,ns/op,1000
ArrayLong,copy,998048.8943,10823.90306,ns/op,1000000
ArrayObject,clone,8.822614,0.159625,ns/op,10
ArrayObject,clone,412.46414,5.654914,ns/op,1000
ArrayObject,clone,653132.6436,9131.898814,ns/op,1000000
ArrayObject,copy,9.589421,0.133123,ns/op,10
ArrayObject,copy,412.968771,4.698114,ns/op,1000
ArrayObject,copy,651033.4916,8844.991272,ns/op,1000000
Object,clone,7.755699,0.116019,ns/op,4
Object,copy,5.920074,0.100969,ns/op,4
Object,clone,7.424272,0.135589,ns/op,8
Object,copy,7.682758,0.063494,ns/op,8
Object,clone,10.483189,0.621499,ns/op,16
Object,copy,13.809963,0.200825,ns/op,16
Object,clone,17.368894,0.231403,ns/op,32
Object,copy,23.728075,0.396966,ns/op,32
ObjectEA,clone,15.968184,0.609428,ns/op,32
ObjectEA,copy,3.367488,0.011043,ns/op,32